DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-001554,MEL202_UVEA,NA,Female,NA,eye,Y-,X,Female_X0,0.000475659,0.53285203,4.24580251,NA,NA
ACH-001555,MERO14_PLEURA,NA,Male,60,lung,NA,X,NA,0.279005688,0.656230007,1.974444556,NA,NA
ACH-001556,MERO25_PLEURA,NA,Male,60,lung,Y+,X,Male_XY,0.748519662,0.690129267,-11.1300649,NA,NA
ACH-001557,MERO41_PLEURA,NA,Male,60,lung,Y+,X,Male_XY,0.776359513,0.713903868,-9.433052742,NA,NA
ACH-001560,MERO83_PLEURA,NA,Male,NA,lung,Y+,X,Male_XY,0.431237802,0.685246024,-7.156080316,NA,NA
ACH-001562,MERO95_PLEURA,NA,Male,NA,lung,Y+,X,Male_XY,0.559373359,0.558321998,-9.05485194,NA,NA
ACH-001563,MM127_SKIN,NA,Male,NA,skin,Y+,X,Male_XY,0.566125601,0.53344128,-8.763184629,NA,NA
ACH-001566,MM370_SKIN,NA,Male,NA,skin,Y+,X,Male_XY,0.66221067,0.640338283,-8.317340037,NA,NA
ACH-001567,MM383_SKIN,NA,Male,NA,skin,Y+,X,Male_XY,0.859170552,0.481617215,-10.04375421,NA,NA
ACH-001568,MM386_SKIN,NA,Male,NA,skin,Y+,X,Male_XY,0.714457569,0.689470243,-7.672589844,NA,NA
ACH-001570,MM426_SKIN,NA,Male,NA,skin,Y+,X,Male_XY,0.575083267,0.535109488,-8.926998238,NA,NA
ACH-001574,MOLM14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,20,blood,Y+,NA,NA,NA,NA,-6.703501088,NA,NA
ACH-001577,MUTZ8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Female,63,blood,Y-,XX,Female_XXhet,2.72E-08,0.874232877,4.553227283,NA,NA
ACH-001607,NOZ_LIVER,NA,Female,48,bile_duct,Y-,X,Female_X0,0.001694454,0.550253043,4.553227283,NA,NA
ACH-001608,NP2_CENTRAL_NERVOUS_SYSTEM,NA,Male,63,central_nervous_system,NA,X,NA,0.211960128,0.621545723,-1.051517805,NA,NA
ACH-001609,NP3_CENTRAL_NERVOUS_SYSTEM,NA,Male,64,central_nervous_system,Y+,X,Male_XY,0.567500986,0.527964637,-8.777178756,NA,NA
ACH-001610,NP5_CENTRAL_NERVOUS_SYSTEM,NA,Male,27,central_nervous_system,Y+,X,Male_XY,0.331287622,0.608471753,-7.402613512,NA,NA
ACH-001611,NP8_CENTRAL_NERVOUS_SYSTEM,NA,Female,38,central_nervous_system,Y-,XX,Female_XXhet,0.000201876,1.079414445,4.490668654,NA,NA
